,player,dob,active,dl,dltype,teamcode
11,Joel Hanrahan,6-Oct-81,0,1,60-day,bos
32,Will Middlebrooks,9-Sep-88,0,1,15-day,bos
39,Ryan Kalish,28-Mar-88,0,1,60-day,bos
41,Shane Victorino,30-Nov-80,0,1,15-day,bos
45,Cesar Cabral,11-Feb-89,0,1,60-day,nyy
57,Michael Pineda,18-Jan-89,0,1,60-day,nyy
64,Francisco Cervelli,6-Mar-86,0,1,60-day,nyy
70,Derek Jeter,26-Jun-74,0,1,60-day,nyy
73,Eduardo Nunez,15-Jun-87,0,1,15-day,nyy
75,Alex Rodriguez,27-Jul-75,0,1,60-day,nyy
82,Curtis Granderson,16-Mar-81,0,1,15-day,nyy
91,Wei-Yin Chen,21-Jul-85,0,1,15-day,bal
105,Pedro Strop,13-Jun-85,0,1,15-day,bal
107,Tsuyoshi Wada,21-Feb-81,0,1,60-day,bal
110,Wilson Betemit,2-Nov-81,0,1,60-day,bal
119,Brian Roberts,9-Oct-77,0,1,60-day,bal
128,Nolan Reimold,12-Oct-83,0,1,15-day,bal
135,Brandon Gomes,15-Jul-84,0,1,15-day,tb
142,Jeff Niemann,28-Feb-83,0,1,60-day,tb
144,Juan Carlos Oviedo,15-Mar-82,0,1,60-day,tb
146,David Price,26-Aug-85,0,1,15-day,tb
175,Kyle Drabek,8-Dec-87,0,1,60-day,tor
176,J.A. Happ,19-Oct-82,0,1,60-day,tor
177,Drew Hutchison,22-Aug-90,0,1,60-day,tor
183,Dustin McGowan,24-Mar-82,0,1,60-day,tor
184,Brandon Morrow,26-Jul-84,0,1,15-day,tor
186,Darren Oliver,6-Oct-70,0,1,15-day,tor
187,Ramon Ortiz,23-May-73,0,1,15-day,tor
189,Luis Perez,20-Jan-85,0,1,60-day,tor
192,Sergio Santos,4-Jul-83,0,1,60-day,tor
208,Brett Lawrie,18-Jan-90,0,1,15-day,tor
210,Jose Reyes,11-Jun-83,0,1,60-day,tor
221,Octavio Dotel,25-Nov-73,0,1,15-day,det
253,Austin Jackson,1-Feb-87,0,1,15-day,det
265,Danny Duffy,21-Dec-88,0,1,60-day,kc
276,Felipe Paulino,5-Oct-83,0,1,60-day,kc
